jid,nid,last_name,first_name,middle_name,suffix,birth_month,birth_day,birth_year,birth_city,birth_state,gender,race_or_ethnicity,court_type
3563,1394646,Abrams,Leslie,Joyce, ,,,1974,Madison,WI,Female,African American,U.S. District Court
3419,1393931,Abrams,Ronnie, , ,,,1968,New York,NY,Female,White,U.S. District Court
1,1376976,Abruzzo,Matthew,T., ,4,30,1889,Brooklyn,NY,Male,White,U.S. District Court
2,1376981,Acheson,Marcus,Wilson, ,6,7,1828,Washington,PA,Male,White,U.S. District Court
3,1376986,Acker,William,Marsh,Jr.,10,25,1927,Birmingham,AL,Male,White,U.S. District Court
4,1376991,Ackerman,Harold,Arnold, ,2,15,1928,Newark,NJ,Male,White,U.S. District Court
5,1376996,Ackerman,James,Waldo, ,1,1,1926,Jacksonville,FL,Male,White,U.S. District Court
6,1377001,Acosta,Raymond,L., ,5,31,1925,New York,NY,Male,Hispanic,U.S. District Court
7,1377006,Adair,Jackson,Leroy, ,2,23,1887,Clayton,IL,Male,White,U.S. District Court
8,1377011,Adams,Arlin,Marvin, ,4,16,1921,Philadelphia,PA,Male,White,U.S. Court of Appeals
9,1377016,Adams,Elmer,Bragg, ,10,27,1842,Pomfret,VT,Male,White,U.S. District Court
10,1377021,Adams,George, , ,8,1,1784,Lynchburg,VA,Male,White,U.S. District Court
11,1377026,Adams,George,Bethune, ,4,3,1845,Philadelphia,PA,Male,White,U.S. District Court
12,1377031,Adams,Henry,Lee,Jr.,,,1945,Jacksonville,FL,Male,African American,U.S. District Court
2989,1391781,Adams,John,R., ,,,1955,Orrville,OH,Male,White,U.S. District Court
3295,1393311,Adamson,William,Charles, ,8,13,1854,Bowdon,GA,Male,White,Other
2717,1390426,Adelman,Lynn,S., ,,,1939,Milwaukee,WI,Male,White,U.S. District Court
13,1377036,Adkins,Jesse,Corcoran, ,4,13,1879,Knoxville,TN,Male,White,U.S. District Court
14,1377041,Adler,Simon,Louis, ,8,30,1867,Seneca Falls,NY,Male,White,U.S. District Court
2927,1391471,Africk,Lance,M., ,,,1951,New York,NY,Male,White,U.S. District Court
3174,1392706,Agee,G.,Steven, ,,,1952,Roanoke,VA,Male,White,U.S. Court of Appeals
15,1377046,Aguilar,Robert,Peter, ,,,1931,Madera,CA,Male,Hispanic,U.S. District Court
2750,1390586,Aiken,Ann,L., ,,,1951,Salem,OR,Female,White,U.S. District Court
16,1377051,Ainsworth,Robert,Andrew,Jr.,5,10,1910,Gulfport,MS,Male,White,U.S. District Court
17,1377056,Akerman,Alexander, , ,10,9,1869,Elberton,GA,Male,White,U.S. District Court
18,1377061,Alaimo,Anthony,A., ,3,29,1920,"Termini, Sicily",Italy,Male,White,U.S. District Court
19,1377066,Alarc?n,Arthur,Lawrence, ,8,14,1925,Los Angeles,CA,Male,Hispanic,U.S. Court of Appeals
5198506,5198506,Albright,Alan,D,,,,1959,Dauphin,PA,Male,White,U.S. District Court
20,1377071,Albritton,William,Harold,III,,,1936,Andalusia,AL,Male,White,U.S. District Court
21,1377076,Aldisert,Ruggero,John, ,11,10,1919,Carnegie,PA,Male,White,U.S. Court of Appeals
22,1377081,Aldrich,Ann, , ,6,28,1927,Providence,RI,Female,White,U.S. District Court
23,1377086,Aldrich,Bailey, , ,4,23,1907,Boston,MA,Male,White,U.S. District Court
24,1377091,Aldrich,Edgar, , ,2,5,1848,Pittsburg,NH,Male,White,U.S. District Court
25,1377096,Alesia,James,Henry, ,7,16,1934,Chicago,IL,Male,White,U.S. District Court
26,1377101,Alito,Samuel,A.,Jr.,,,1950,Trenton,NJ,Male,White,U.S. Court of Appeals
3373,1393701,Allen,Arenda,Lauretta Wright, ,,,1960,Philadelphia,PA,Female,African American,U.S. District Court
27,1377106,Allen,Charles,Mengel, ,11,22,1916,Louisville,KY,Male,White,U.S. District Court
28,1377111,Allen,Florence,Ellinwood, ,3,23,1884,Salt Lake City,UT,Female,White,U.S. Court of Appeals
29,1377116,Allen,William,Joshua, ,6,9,1829,Wilson County,TN,Male,White,U.S. District Court
30,1377121,Alley,Wayne,Edward, ,,,1932,Portland,OR,Male,White,U.S. District Court
31,1377126,Allgood,Clarence,W., ,9,12,1902,Birmingham,AL,Male,White,U.S. District Court
32,1377131,Allred,James,V., ,3,29,1899,Bowie,TX,Male,White,U.S. District Court
2705,1390376,Almond,James,Lindsay,Jr.,6,15,1898,Charlottesville,VA,Male,White,Other
3576,1394711,Alonso,Jorge,Luis, ,,,1966,Sagua La Grande,Cuba,Male,Hispanic,U.S. District Court
