Judge ID,Race or Ethnicity,Gender,Court Type
3563,African American,Female,U.S. District Court
3419,White,Female,U.S. District Court
2989,White,Male,U.S. District Court
2927,White,Male,U.S. District Court
3174,White,Male,U.S. Court of Appeals
2750,White,Female,U.S. District Court
5198506,White,Male,U.S. District Court
26,White,Male,U.S. Court of Appeals
3373,African American,Female,U.S. District Court
3576,Hispanic,Male,U.S. District Court
6586021,African American,Male,U.S. District Court
6244926,Hispanic,Male,U.S. District Court
2997,Hispanic,Female,U.S. District Court
3080,Hispanic,Female,U.S. District Court
3173,White,Male,U.S. District Court
3402,White,Male,U.S. District Court
3190,Hispanic,Female,U.S. District Court
6385001,Hispanic,Male,U.S. District Court
3568,White,Female,U.S. District Court
2898,Hispanic,Female,U.S. District Court
5153446,White,Male,U.S. District Court
2949,African American,Male,U.S. District Court
4738061,White,Female,U.S. District Court
3161,White,Female,U.S. District Court
3577,White,Female,U.S. District Court
3459,White,Male,U.S. Court of Appeals
6202901,White,Female,U.S. Court of Appeals
3141,White,Male,U.S. District Court
3427,White,Female,U.S. District Court
5152936,White,Male,U.S. District Court
90,White,Male,U.S. District Court
6595046,White,Male,U.S. District Court
6379986,White,Male,U.S. District Court
6594531,White,Female,U.S. District Court
7465661,White,Male,U.S. District Court
3979311,White,Female,U.S. Court of Appeals
3110,White,Male,U.S. District Court
3540,White,Male,U.S. Court of Appeals
3524,White,Female,U.S. District Court
3525,White,Male,U.S. District Court
3102,White,Male,U.S. District Court
5153456,White,Female,U.S. District Court
5018781,White,Male,U.S. District Court
3569,African American/White,Female,U.S. District Court
6489616,White,Male,U.S. District Court
3411,White,Female,U.S. District Court
3066,Hispanic,Male,U.S. District Court
3588,African American,Male,U.S. District Court
4908101,White,Male,U.S. Court of Appeals
156,White,Male,U.S. District Court
3070,White,Male,U.S. Court of Appeals
3448,White,Male,U.S. District Court
3223,African American,Female,U.S. District Court
6801611,White,Female,U.S. District Court
3450,Hispanic,Male,U.S. District Court
3095,White,Male,U.S. District Court
3989731,White,Male,U.S. Court of Appeals
3578,African American,Female,U.S. District Court
3556,African American,Male,U.S. District Court
3396,Asian American/Hispanic,Female,U.S. District Court
3259,White,Male,U.S. District Court
2922,White,Male,U.S. District Court
186,White,Female,U.S. District Court
190,White,Female,U.S. District Court
3579,White,Male,U.S. District Court
3552,White,Female,U.S. District Court
3363,White,Male,U.S. District Court
3570,African American,Male,U.S. District Court
2884,White,Female,U.S. District Court
4444651,White,Female,U.S. District Court
3580,White,Male,U.S. District Court
6595551,White,Male,U.S. District Court
3546,African American,Male,U.S. District Court
2899,White,Female,U.S. District Court
3082,White,Male,U.S. District Court
3067,White,Female,U.S. District Court
3012,White,Male,U.S. District Court
6278456,White,Female,U.S. District Court
4237586,White,Female,U.S. Court of Appeals
3455,White,Male,U.S. District Court
5153461,White,Female,U.S. District Court
6383991,White,Male,U.S. District Court
3335,White,Male,U.S. District Court
2987,White,Male,U.S. District Court
4602991,White,Male,U.S. Court of Appeals
6729576,White,Male,U.S. Court of Appeals
3367,White,Male,U.S. District Court
3191,White,Male,U.S. District Court
5375096,White,Female,U.S. District Court
267,White,Male,U.S. District Court
3488,African American/Hispanic,Male,U.S. District Court
3413,African American,Female,U.S. District Court
3509,White,Male,U.S. District Court
4477666,White,Male,U.S. District Court
7049261,African American,Female,U.S. District Court
2840,White,Female,U.S. District Court
3495,African American,Female,U.S. District Court
7545476,White,Male,U.S. District Court
6840201,White,Male,U.S. District Court
4028216,White,Male,U.S. District Court
3387,African American,Female,U.S. District Court
3023,White,Male,U.S. District Court
3490,White,Male,U.S. District Court
3144,African American,Female,U.S. District Court
6801616,White,Male,U.S. District Court
7499211,Asian American,Male,U.S. Court of Appeals
3116,White,Female,U.S. District Court
2919,White,Male,U.S. District Court
3096,White,Male,U.S. District Court
5373561,White,Male,U.S. District Court
3033,White,Male,U.S. District Court
328,American Indian,Male,U.S. District Court
3581,White,Female,U.S. District Court
3114866,White,Male,U.S. Court of Appeals
2787,White,Male,U.S. District Court
2981,White,Male,U.S. Court of Appeals
3550,White,Male,U.S. District Court
6631566,White,Male,U.S. District Court
3386,White,Male,U.S. District Court
2894,White,Female,U.S. District Court
3002,Hispanic,Female,U.S. Court of Appeals
3011,White,Male,U.S. District Court
367,White,Male,U.S. District Court
4027846,White,Male,U.S. District Court
3487,White,Female,U.S. District Court
3018,Hispanic,Female,U.S. District Court
377,White,Male,U.S. Court of Appeals
378,White,Female,U.S. District Court
2994,White,Male,U.S. District Court
3375,White,Female,U.S. Court of Appeals
4625001,White,Male,U.S. Court of Appeals
3406,African American,Male,U.S. District Court
3340,African American,Female,U.S. District Court
2940,White,Male,U.S. District Court
3029,White,Male,U.S. District Court
398,Hispanic,Male,U.S. District Court
402,White,Female,U.S. District Court
3376,White,Female,U.S. District Court
2950,White,Male,U.S. District Court
3107,White,Male,U.S. Court of Appeals
2722,White,Male,U.S. District Court
3342,Asian American,Male,U.S. District Court
3475,White,Female,U.S. District Court
