nid,jid,Court Type,Last Name,First Name,Middle Name,Suffix,Birth Year,Birth City,Birth State,Gender,Race or Ethnicity
1377101,26,U.S. Court of Appeals,Alito,Samuel,A.,Jr.,1950,Trenton,NJ,Male,White
1377416,90,U.S. District Court,Barbadoro,Paul,J., ,1955,Providence,RI,Male,White
1377746,156,U.S. District Court,Bennett,Mark,W., ,1950,Milwaukee,WI,Male,White
1377896,186,U.S. District Court,Blackburn,Sharon,Lovelace, ,1950,Pensacola,FL,Female,White
1377916,190,U.S. District Court,Blake,Catherine,C., ,1950,Boston,MA,Female,White
1378606,328,U.S. District Court,Burrage,Billy,Michael, ,1950,Durant,OK,Male,American Indian
1378801,367,U.S. District Court,Campbell,Todd,J., ,1956,Rockford,IL,Male,White
1378846,377,U.S. Court of Appeals,Carnes,Edward,Earl, ,1950,Albertville,AL,Male,White
1378851,378,U.S. District Court,Carnes,Julie,E., ,1950,Atlanta,GA,Female,White
1378946,398,U.S. District Court,Castillo,Rubén, , ,1954,Chicago,IL,Male,Hispanic
1378966,402,U.S. District Court,Cauthron,Robin,J., ,1950,Edmond,OK,Female,White
1379036,416,U.S. District Court,Chatigny,Robert,N., ,1951,Taunton,MA,Male,White
1379061,421,U.S. District Court,Chin,Denny, , ,1954,Kowloon,Hong Kong,Male,Asian American
1379321,473,U.S. Court of Appeals,Cole,Ransey,Guy,Jr.,1951,Birmingham,AL,Male,African American
1379456,500,U.S. District Court,Conway,Anne,C., ,1950,Cleveland,OH,Female,White
1380091,628,U.S. District Court,Doherty,Rebecca,F., ,1952,Fort Worth,TX,Female,White
1380106,631,U.S. District Court,Donald,Bernice,Bouie, ,1951,Desoto County,MS,Female,African American
1380776,765,U.S. District Court,Fitzwater,Sidney,Allen, ,1953,Olney,MD,Male,White
1380926,796,U.S. District Court,Freeh,Louis,J., ,1950,Jersey City,NJ,Male,White
1381036,818,U.S. District Court,Garcia,Orlando,Luis, ,1952,Jim Wells County,TX,Male,Hispanic
1381046,820,U.S. Court of Appeals,Garland,Merrick,B., ,1952,Chicago,IL,Male,White
1381091,829,U.S. District Court,Gaughan,Patricia,Anne, ,1953,Lakewood,OH,Female,White
1381171,845,U.S. District Court,Gibbons,Julia,Smith, ,1950,Pulaski,TN,Female,White
1381261,863,U.S. District Court,Gilmore,Vanessa,D., ,1956,St. Albans,NY,Female,African American
1381281,867,U.S. District Court,Gleeson,John, , ,1953,Bronx,NY,Male,White
1381496,911,U.S. District Court,Greenaway,Joseph,A.,Jr.,1957,London,England,Male,African American
1381646,941,U.S. District Court,Haik,Richard,T., ,1950,Lafayette,LA,Male,White
1381726,957,U.S. District Court,Hamilton,David,Frank, ,1957,Bloomington,IN,Male,White
1382076,1028,U.S. Court of Appeals,Henry,Robert,Harlan, ,1953,Shawnee,OK,Male,White
1382196,1053,U.S. District Court,Hinkle,Robert,Lewis, ,1951,Apalachicola,FL,Male,White
1382201,1054,U.S. District Court,Hinojosa,Ricardo,H., ,1950,Rio Grande City,TX,Male,Hispanic
1382346,1083,U.S. District Court,Holmes,Sven,Erik, ,1951,Grand Junction,CO,Male,White
1382366,1087,U.S. District Court,Hood,Denise,Page, ,1952,Columbus,OH,Female,African American
1382481,1110,U.S. District Court,Huff,Marilyn,L., ,1951,Ann Arbor,MI,Female,White
1382706,1155,U.S. District Court,Jackson,Carol,E., ,1952,St. Louis,MO,Female,African American
1383201,1254,U.S. District Court,Kendall,Elton,Joe, ,1954,Dallas,TX,Male,White
1383326,1280,U.S. District Court,King,George,H., ,1951,Shanghai,China,Male,Asian American
1383496,1314,U.S. Court of Appeals,Kozinski,Alex, , ,1950,Bucharest,Romania,Male,White
1383816,1379,U.S. District Court,Lenard,Joan,A., ,1952,Amityville,NY,Female,White
1383856,1387,U.S. District Court,Levi,David,F., ,1951,Chicago,IL,Male,White
1383891,1394,U.S. District Court,Lewis,Timothy,K., ,1954,Pittsburgh,PA,Male,African American
1383941,1404,U.S. District Court,Lisi,Mary,M., ,1950,Providence,RI,Female,White
1384136,1443,U.S. Court of Appeals,Luttig,J.,Michael, ,1954,Tyler,TX,Male,White
1384371,1490,U.S. District Court,Marten,John,Thomas, ,1951,Topeka,KS,Male,White
1384771,1571,U.S. District Court,McKinley,Joseph,H.,Jr.,1954,Owensboro,KY,Male,White
1384811,1579,U.S. District Court,McLaughlin,Sean,J., ,1955,Erie,PA,Male,White
1385051,1627,U.S. District Court,Merryday,Steven,Douglas, ,1950,Palatka,FL,Male,White
1385121,1641,U.S. District Court,Miles-LaGrange,Vicki, , ,1953,Oklahoma City,OK,Female,African American
1385161,1649,U.S. District Court,Miller,Robert,Lowell,Jr.,1950,South Bend,IN,Male,White
1385306,1678,U.S. District Court,Moore,Kevin,Michael, ,1951,Coral Gables,FL,Male,White
1385336,1684,U.S. District Court,Moreno,Federico,A., ,1952,Caracas,Venezuela,Male,Hispanic
1385431,1703,U.S. District Court,Moskowitz,Barry,Ted, ,1950,Paterson,NJ,Male,White
1385911,1800,U.S. District Court,O'Malley,Kathleen,McDonald, ,1956,Drexel Hill,PA,Female,White
1386251,1869,U.S. District Court,Perry,Catherine,D., ,1952,Hobart,OK,Female,White
1386306,1880,U.S. District Court,Phillips,Layn,R., ,1952,Oklahoma City,OK,Male,White
1386566,1933,U.S. District Court,Pregerson,Dean,D., ,1951,Los Angeles,CA,Male,White
1386671,1954,U.S. District Court,Raggi,Reena, , ,1951,Jersey City,NJ,Female,White
1387046,2032,U.S. District Court,Robinson,Sue,Lewis, ,1952,Mount Carmel,IL,Female,White
1387121,2047,U.S. District Court,Rosen,Gerald,Ellis, ,1951,Chandler,AZ,Male,White
1387151,2054,U.S. District Court,Rosenthal,Lee,Hyman, ,1952,Richmond,IN,Female,White
1387376,2099,U.S. District Court,Sargus,Edmund,A.,Jr.,1953,Wheeling,WV,Male,White
1387381,2100,U.S. District Court,Saris,Patti,B., ,1951,Boston,MA,Female,White
1387446,2113,U.S. District Court,Schell,Richard,A., ,1950,Dallas,TX,Male,White
1387711,2167,U.S. District Court,Shedd,Dennis,W., ,1953,Cordova,SC,Male,White
1387941,2213,U.S. District Court,Smith,David,Brooks, ,1951,Altoona,PA,Male,White
1388071,2239,U.S. District Court,Solis,Jorge,Antonio, ,1951,San Ygnacio,TX,Male,Hispanic
1388091,2243,U.S. District Court,Sotomayor,Sonia, , ,1954,Bronx,NY,Female,Hispanic
1388336,2292,U.S. Court of Appeals,Stewart,Carl,E., ,1950,Shreveport,LA,Male,African American
1388711,2367,U.S. Court of Appeals,Thomas,Sidney,Runyan, ,1953,Bozeman,MT,Male,White
1388731,2371,U.S. District Court,Thompson,Alvin,W., ,1953,Baltimore,MD,Male,African American
1388836,2392,U.S. District Court,Tinder,John,Daniel, ,1950,Indianapolis,IN,Male,White
1388976,2421,U.S. District Court,Tunheim,John,R., ,1953,Thief River Falls,MN,Male,White
1389036,2433,U.S. District Court,Ungaro,Ursula, , ,1951,Miami Beach,FL,Female,White
1389126,2451,U.S. District Court,Vanaskie,Thomas,Ignatius, ,1953,Shamokin,PA,Male,White
1389136,2453,U.S. District Court,Vance,Sarah,S., ,1950,Donaldsonville,LA,Female,White
1389151,2456,U.S. District Court,Vázquez,Martha,Alicia, ,1953,Santa Barbara,CA,Female,Hispanic
1389371,2501,U.S. District Court,Wardlaw,Kim,McLane, ,1954,San Francisco,CA,Female,Hispanic
1389946,2617,U.S. District Court,Winmill,B.,Lynn, ,1952,Blackfoot,ID,Male,White
1390036,2636,U.S. Court of Appeals,Wood,Diane,Pamela, ,1950,Plainfield,NJ,Female,White
1390451,2722,U.S. District Court,Chambers,Robert,Charles, ,1952,Williamson,WV,Male,White
1390466,2725,U.S. District Court,Droney,Christopher,Fitzgerald, ,1954,Hartford,CT,Male,White
1390491,2730,U.S. District Court,Gwin,James,S., ,1954,Canton,OH,Male,White
1390511,2734,U.S. District Court,Jenkins,Martin,J., ,1953,San Francisco,CA,Male,African American
1390536,2739,U.S. District Court,Marbley,Algenon,L., ,1954,Morehead City,NC,Male,African American
1390561,2745,U.S. District Court,Sippel,Rodney,W., ,1956,Jefferson City,MO,Male,White
1390576,2748,U.S. District Court,Thrash,Thomas,W.,Jr.,1951,Birmingham,AL,Male,White
1390581,2749,U.S. District Court,Story,Richard,W., ,1953,Augusta,GA,Male,White
1390586,2750,U.S. District Court,Aiken,Ann,L., ,1951,Salem,OR,Female,White
1390596,2752,U.S. Court of Appeals,Silverman,Barry,G., ,1951,New York,NY,Male,White
1390601,2753,U.S. District Court,Morrow,Margaret,M., ,1950,Columbus,NE,Female,White
1390606,2754,U.S. District Court,Young,Richard,L., ,1953,Davenport,IA,Male,White
1390616,2756,U.S. District Court,Lindsay,Sam,A., ,1951,San Antonio,TX,Male,African American
1390641,2761,U.S. Court of Appeals,McKeown,M.,Margaret, ,1951,Casper,WY,Female,White
1390651,2763,U.S. District Court,Lemelle,Ivan,L. R., ,1950,Opelousas,LA,Male,African American
1390671,2767,U.S. District Court,Rawlinson,Johnnie,B., ,1952,Concord,NC,Female,African American
1390676,2768,U.S. District Court,Dimitrouleas,William,P., ,1951,Lynn,MA,Male,White
1390696,2772,U.S. District Court,Sleet,Gregory,Moneta, ,1951,New York,NY,Male,African American
1390716,2776,U.S. District Court,Roberts,Victoria,A., ,1951,Detroit,MI,Female,African American
1390721,2777,U.S. District Court,Roberts,Richard,W., ,1953,New York,NY,Male,African American
1390741,2781,U.S. District Court,Collins,Raner,Christercunean, ,1952,Malvern,AR,Male,African American
1390756,2784,U.S. District Court,Mollway,Susan,Oki, ,1950,Honolulu,HI,Female,Asian American
1390761,2785,U.S. District Court,Polster,Dan,A., ,1951,Cleveland,OH,Male,White
1390771,2787,U.S. District Court,Buttram,H.,Dean,Jr.,1950,Gadsden,AL,Male,White
1390801,2793,U.S. District Court,Frank,Donovan,W., ,1951,Rochester,MN,Male,White
1390811,2795,U.S. District Court,Herndon,David,R., ,1953,Sedalia,MO,Male,White
1390816,2796,U.S. District Court,Kane,Yvette, , ,1953,Donaldsonville,LA,Female,White
1390821,2797,U.S. District Court,Lasnik,Robert,S., ,1951,Staten Island,NY,Male,White
1390826,2798,U.S. District Court,Manella,Nora,Margaret, ,1951,Los Angeles,CA,Female,White
1390831,2799,U.S. District Court,McMahon,Colleen, , ,1951,Columbus,OH,Female,White
1390846,2802,U.S. District Court,Pallmeyer,Rebecca,R., ,1954,Tokyo,Japan,Female,White
1390851,2803,U.S. District Court,Pauley,William,H.,III,1952,Glen Cove,NY,Male,White
1390881,2809,U.S. District Court,Lee,Gerald,Bruce, ,1952,Washington,DC,Male,African American
1390941,2821,U.S. District Court,Kennelly,Matthew,F., ,1956,Marion,IN,Male,White
1390946,2822,U.S. District Court,Ellison,Keith,P., ,1950,New Orleans,LA,Male,White
1390961,2825,U.S. District Court,Schreier,Karen,E., ,1956,Sioux Falls,SD,Female,White
1390966,2826,U.S. District Court,Underhill,Stefan,R., ,1956,Battle Creek,MI,Male,White
1390976,2828,U.S. Court of Appeals,Katzmann,Robert,A., ,1953,New York,NY,Male,White
1390986,2830,U.S. Court of Appeals,Wilson,Charles,R., ,1954,Pensacola,FL,Male,African American
1390991,2831,U.S. District Court,Jordan,Adalberto,Jose, ,1961,Havana,Cuba,Male,Hispanic
1390996,2832,U.S. District Court,Murguia,Carlos, , ,1957,Kansas City,KS,Male,Hispanic
1391001,2833,U.S. District Court,Pechman,Marsha,J., ,1951,Salem,OR,Female,White
1391036,2840,U.S. District Court,Brown,Anna,J., ,1952,Portland,OR,Female,White
1391046,2842,U.S. District Court,Hochberg,Faith,S., ,1950,East Orange,NJ,Female,White
1391071,2847,U.S. District Court,Phillips,Virginia,A., ,1957,Orange,CA,Female,White
1391081,2849,U.S. District Court,Lynn,Barbara,M., ,1952,Binghamton,NY,Female,White
1391106,2854,U.S. District Court,Daniels,George,B., ,1953,Allendale,SC,Male,African American
1391151,2863,U.S. District Court,Hamilton,Phyllis,Jean, ,1952,Jacksonville,IL,Female,African American
1391161,2865,U.S. District Court,Lawson,David,M., ,1951,Detroit,MI,Male,White
1391166,2866,U.S. District Court,Lynch,Gerard,E., ,1951,Brooklyn,NY,Male,White
1391186,2870,U.S. Court of Appeals,Tallman,Richard,C., ,1953,Oakland,CA,Male,White
1391191,2871,U.S. District Court,Tucker,Petrese,B., ,1951,Philadelphia,PA,Female,African American
1391196,2872,U.S. District Court,Whittemore,James,D., ,1952,Walterboro,SC,Male,White
1391216,2876,U.S. District Court,Martin,Beverly,Baldwin, ,1955,Macon,GA,Female,White
1391251,2883,U.S. District Court,Swain,Laura,Taylor, ,1958,Brooklyn,NY,Female,African American
1391256,2884,U.S. District Court,Bolton,Susan,Ritchie, ,1951,Philadelphia,PA,Female,White
1391261,2885,U.S. District Court,Murguia,Mary,Helen, ,1960,Kansas City,KS,Female,Hispanic
1391266,2886,U.S. District Court,Reagan,Michael,Joseph, ,1954,Albuquerque,NM,Male,White
1391276,2888,U.S. Court of Appeals,Gregory,Roger,L., ,1953,Philadelphia,PA,Male,African American
1391296,2892,U.S. Court of Appeals,Prost,Sharon, , ,1951,Newburyport,MA,Female,White
1391306,2894,U.S. District Court,Caldwell,Karen,K., ,1956,Stanford,KY,Female,White
1391311,2895,U.S. District Court,Smith Camp,Laurie, , ,1953,Omaha,NE,Female,White
1391316,2896,U.S. District Court,Eagan,Claire, , ,1950,Bronx,NY,Female,White
1391326,2898,U.S. District Court,Armijo,M.,Christina, ,1951,Las Vegas,NM,Female,Hispanic
1391331,2899,U.S. District Court,Bowdre,Karon,O., ,1955,Montgomery,AL,Female,White
1391346,2902,U.S. District Court,Mills,Michael,P., ,1956,Charleston,SC,Male,White
1391351,2903,U.S. District Court,Engelhardt,Kurt,Damian, ,1960,New Orleans,LA,Male,White
1391361,2905,U.S. District Court,Heaton,Joe,L., ,1951,Alva,OK,Male,White
1391366,2906,U.S. District Court,Wooten,Terry,L., ,1954,Louisville,KY,Male,White
1391371,2907,U.S. District Court,Reeves,Danny,C., ,1957,Corbin,KY,Male,White
1391376,2908,U.S. District Court,Robinson,Julie,A., ,1957,Omaha,NE,Female,African American
1391386,2910,U.S. District Court,Johnson,William,Paul, ,1959,Roanoke,VA,Male,White
1391391,2911,U.S. District Court,Land,Clay,D., ,1960,Shreveport,LA,Male,White
1391406,2914,U.S. District Court,Krieger,Marcia,S., ,1954,Denver,CO,Female,White
1391416,2916,U.S. District Court,Granade,Callie,V., ,1950,Lexington,VA,Female,White
1391421,2917,U.S. District Court,Martinez,Philip,Ray, ,1957,El Paso,TX,Male,Hispanic
1391426,2918,U.S. District Court,Zainey,Jay,C., ,1951,New Orleans,LA,Male,White
1391431,2919,U.S. District Court,Bunning,David,L., ,1966,Ft. Thomas,KY,Male,White
1391446,2922,U.S. District Court,Blackburn,Robert,E., ,1950,Lakewood,CO,Male,White
1391451,2923,U.S. District Court,Jorgenson,Cindy,K., ,1953,Fort Ord,CA,Female,White
1391466,2926,U.S. District Court,Crane,Randy, , ,1965,Houston,TX,Male,Hispanic
1391471,2927,U.S. District Court,Africk,Lance,M., ,1951,New York,NY,Male,White
1391481,2929,U.S. District Court,Davis,Legrome,D., ,1952,Columbus,OH,Male,African American
1391486,2930,U.S. District Court,Griesbach,William,C., ,1954,Milwaukee,WI,Male,White
1391491,2931,U.S. District Court,Hanen,Andrew,S., ,1953,Elgin,IL,Male,White
1391496,2932,U.S. Court of Appeals,Howard,Jeffrey,R., ,1955,Claremont,NH,Male,White
1391501,2933,U.S. District Court,Ericksen,Joan,N., ,1954,St. Paul,MN,Female,White
1391536,2940,U.S. District Court,Cassell,Paul,G., ,1959,Orange,CA,Male,White
1391546,2942,U.S. Court of Appeals,Clifton,Richard,R., ,1950,Framingham,MA,Male,White
1391551,2943,U.S. District Court,Conner,Christopher,C., ,1957,Harrisburg,PA,Male,White
1391556,2944,U.S. District Court,England,Morrison,C.,Jr.,1954,St. Louis,MO,Male,African American
1391561,2945,U.S. District Court,Godbey,David,C., ,1957,Temple,TX,Male,White
1391566,2946,U.S. District Court,Jones,John,E.,III,1955,Pottsville,PA,Male,White
1391576,2948,U.S. Court of Appeals,Smith,Lavenski,R., ,1958,Hope,AR,Male,African American
1391581,2949,U.S. District Court,Autrey,Henry,Edward, ,1952,Mobile,AL,Male,African American
1391586,2950,U.S. District Court,Cercone,David,S., ,1952,Pittsburgh,PA,Male,White
1391596,2952,U.S. District Court,Corrigan,Timothy,J., ,1956,Jacksonville,FL,Male,White
1391611,2955,U.S. District Court,Marra,Kenneth,A., ,1951,Queens,NY,Male,White
1391621,2957,U.S. District Court,St. Eve,Amy,Joan, ,1965,Belleville,IL,Female,White
1391636,2960,U.S. District Court,Clark,Ron, , ,1953,Caripito,Venezuela,Male,White
1391661,2965,U.S. District Court,Leighton,Ronald,B., ,1951,Stockton,CA,Male,White
1391666,2966,U.S. District Court,Hovland,Daniel,L., ,1954,Moorhead,MN,Male,White
1391681,2969,U.S. District Court,Moses,Alia, , ,1962,Eagle Pass,TX,Female,Hispanic
1391691,2971,U.S. District Court,Kinkeade,James,E., ,1951,Denton,TX,Male,White
1391696,2972,U.S. District Court,Smith,William,E., ,1959,Boise,ID,Male,White
1391706,2974,U.S. District Court,Jordan,Kent,A., ,1957,West Point,NY,Male,White
1391711,2975,U.S. District Court,Fuller,Mark,E., ,1958,Enterprise,AL,Male,White
1391721,2977,U.S. District Court,Kugler,Robert,B., ,1950,Camden,NJ,Male,White
